Column1;datetime;username;origin_text;text;like;retweet;reply;neg;neu;pos;compound;sentiment
20;2020-05-01;Parlay_Plus;"Plenty of  #TableTennis   #Soccer  &  #MMA  action now available at   

 # Bitcoin   # BTC   #COVID19   # StayHome   #GamblingTwitter   #Crypto   #bored   #Japan   #livestream   #Live   #Isolation   #gaming   #ETH   #USA   #sunrise   #Moscow   #CryptoNews   #";plenty tabletennis soccer mma action available bitcoin btc covid19 stayhome gamblingtwitter crypto bored japan livestream live isolation gaming eth usa sunrise moscow cryptonews;4;2;0;138;862;0;-5859;Negative
21;2020-05-01;poetrapajajaran;hello, sorry to interrupt., introduce me susanto, i am from  indonesia , i am a casual daily worker, and now i am very affected because of the  corona virus  or covid 19, i really need financial assistance, to eat everyday, because i am already unable  get more money.;hello sorry interrupt introduce susanto indonesia casual daily worker affected corona virus covid 19 really need financial assistance eat everyday already unable get money;0;0;0;109;856;35;-4201;Negative
22;2020-05-01;AsianMining;Indonesia s Coordinating Ministry for Maritime Affairs &  Investment has rejected a proposal from the nickel miners association (APNI) to allow exports of unprocessed nickel ore to cushion the impact of the  #coronavirus  outbreak.  ;indonesia  coordinating ministry maritime affairs investment rejected proposal nickel miners  association apni allow exports unprocessed nickel ore cushion impact coronavirus outbreak;0;1;0;89;86;51;-34;Negative
23;2020-05-01;SurveySensum;"Our Founder, Mr. Rajiv Lamba is hosting yet another  #webinar  with  @MMAglobal  for business leaders on:

"" CORONAVIRUS  IMPACT ON BUSINESS SENTIMENT ACROSS APAC""

Register now:   
Date and Time: 11th May 2020 @ 1 PM  Indonesia  Time

 #covid19   #impact ";founder mr rajiv lamba hosting yet another webinar mmaglobal business leaders coronavirus impact business sentiment across apac register date time 11th may 2020 1 pm indonesia time covid19 impact;3;0;0;0;10;0;0;Neutral
24;2020-05-01;KonfirmasiTimes;"Coronavirus  Jakarta,  Indonesia  update today

393 people died

  
 #COVID__19  
 #COVID19  
 #COVID 
 #coronavirus  
 #pandemic 
 #CoronaLockdown 
 #COVIDIDIOT  
 #COVID%E3%8";coronavirus jakarta indonesia update today 393 people died covid19 covid19 covid coronavirus pandemic coronalockdown covididiot covide38;0;0;0;184;816;0;-5574;Negative
25;2020-05-01;RahulPariharapj;@narendramodi  sir, you want India 5 trillion economy. Take advantage and allow 1000 companies dying to come India, before Vietnam, Malaysia or  Indonesia  grabs opportunity.  #GujaratDay   #maharashtraday   #%E0%A4%AE%E0%A4%BF%E0%A4%A5%E0%A4%BF%E0%A4%B2%E0%A4%BE   #MayDay2020   ;narendramodi sir want india 5 trillion economy take advantage allow 1000 companies dying come india vietnam malaysia indonesia grabs opportunity gujaratday maharashtraday e0a4aee0a4bfe0a4a5e0a4bfe0a4b2e0a4be mayday2020;0;0;0;0;758;242;7184;Positive
26;2020-05-01;febianns;" 
 Coronavirus  Cases in  Indonesia  till April 30th, 2020 | Bar Chart Race Animation

 #coronavirus   #COVID19Pandemic   #Covid19   #COVID__19   #COVID19indonesia ";coronavirus cases indonesia till april 30th 2020 bar chart race animation coronavirus covid19pandemic covid19 covid19 covid19indonesia;4;3;0;0;10;0;0;Neutral
27;2020-05-01;NBCNewsWorld;"Coronavirus  latest:   

 Brazil surge in  coronavirus  cases alarms neighbouring countries
  Indonesia  official stats of nearly 800 COVID-19 deaths, data suggest deaths over 2,000
 WHO investigating link between virus and syndrome that affects young";coronavirus latest  brazil surge coronavirus cases alarms neighbouring countries  indonesia official stats nearly 800 covid19 deaths data suggest deaths 2000  investigating link virus syndrome affects young;3;1;1;55;945;0;-2732;Negative
28;2020-05-01;Politica_Econom;"opposition, when all the countries in the world are fighting the  coronavirus , can be dangerous, he said in a phone conversation with  Indonesian  President Joko Widodo.

Donald Trumps administration is not only refusing to remove its illegal sanctions on Iran, but it is also";opposition countries world fighting coronavirus dangerous  said phone conversation indonesian president joko widodo donald trump  administration refusing remove illegal sanctions iran also;0;0;1;85;881;34;-3444;Negative
29;2020-05-01;aulmuhm;Answer to Why is Vietnam better than  Indonesia  in dealing with  coronavirus ? by Jonathan Buttall  ;answer vietnam better indonesia dealing coronavirus jonathan buttall;0;1;0;0;838;162;4404;Positive
30;2020-05-01;TostevinM;Indonesia  again reports only eight more deaths from  #coronavirus  - bringing the total to 800. The total number of cases rose 433 to 10,551;indonesia reports eight deaths coronavirus bringing total 800 total number cases rose 433 10551;22;9;0;0;935;65;1513;Positive
31;2020-05-01;Covid19Update24;"UPDATES :  INDONESIA 

          Total     1 May  30Apr  29Apr

Cases  10,551   433    347   260

Recover 1,591   69      131    137

Death     800      8         8      11

 #coronavirus  
 #COVID19indonesia   
 #CoronaVirusUpdate  
 #COVID19Update";updates indonesia total 1 may 30apr 29apr cases 10551 433 347 260 recover 1591 69 131 137 death 800 8 8 11 coronavirus covid19indonesia coronavirusupdate covid19update;11;7;0;13;87;0;-5994;Negative
32;2020-05-01;moustafaelkhaw3;Thousands of animals face starvation at cesspit  Indonesian  zoo due to  coronavirus  and maybe forced to eat each other  ;thousands animals face starvation cesspit indonesian zoo due coronavirus maybe forced eat;0;0;0;143;857;0;-4588;Negative
33;2020-05-01;jamesmassola;Indonesia  has now recorded 10,551 cases of  #coronavirus , up by 433 from Thursday. 1,591 people have recovered (up 69), 800 people have died (up 8). 102,305 tests have been done on 76,538 people.;indonesia recorded 10551 cases coronavirus 433 thursday 1591 people recovered 69 800 people died 8 102305 tests done 76538 people;29;24;6;98;902;0;-5574;Negative
34;2020-05-01;dev_discourse;Indonesia  reports 433 new  coronavirus  cases, 8 deaths  ;indonesia reports 433 new coronavirus cases 8 deaths;1;0;0;0;10;0;0;Neutral
35;2020-05-01;Jerusalem_Post;"#Indonesia  confirmed on Friday 433 new  #coronavirus  infections, taking the total number of cases to 10,551, health ministry official Achmad Yurianto said.
 ";indonesia confirmed friday 433 new coronavirus infections taking total number cases 10551 health ministry official achmad yurianto said;4;3;0;0;929;71;1513;Positive
36;2020-05-01;Covid19Update24;"ASEAN
Most  #Coronavirus  Cases

Singapore  17,101
 Indonesia   10,551
Philippines  8,772
Malaysia   6,071
Thailand   2,960
Vietnam   270
Myanmar 151
Brunei  138
Cambodia 122
Timor-Leste 24
Laos19

 #coronavirus 
 #CoronaVirusUpdate  
 #COVID19Update";asean coronavirus cases singapore 17101 indonesia 10551 philippines 8772 malaysia 6071 thailand 2960 vietnam 270 myanmar 151 brunei 138 cambodia 122 timorleste 24 laos19 coronavirus coronavirusupdate covid19update;5;7;0;0;10;0;0;Neutral
37;2020-05-01;Covid19Update24;"ASEAN
Most  #Coronavirus  Cases

Singapore  17,101
 Indonesia   10,551
Philippines  8,772
Malaysia   6,071
Thailand   2,960
Vietnam   270
Myanmar 151
Brunei  138
Cambodia 122
Timor-Leste 24
Laos19

 #coronavirus 
 #CoronaVirusUpdate  
 #COVID19Update";asean coronavirus cases singapore 17101 indonesia 10551 philippines 8772 malaysia 6071 thailand 2960 vietnam 270 myanmar 151 brunei 138 cambodia 122 timorleste 24 laos19 coronavirus coronavirusupdate covid19update;1;0;0;0;10;0;0;Neutral
38;2020-05-01;Covid19Update24;"Most deaths in ASEAN,

 Indonesia  800
Philippines 579
Malaysia 103
Thailand 54
Singapore 15
Myanmar 6
Brunei 1

 #coronavirus 
 #CoronaVirusUpdate  
 #COVID19Update";deaths asean indonesia 800 philippines 579 malaysia 103 thailand 54 singapore 15 myanmar 6 brunei 1 coronavirus coronavirusupdate covid19update;3;6;0;0;10;0;0;Neutral
39;2020-05-01;AndyVermaut;Indonesia  reports 433 new  coronavirus  cases, 8 deaths   ;indonesia reports 433 new coronavirus cases 8 deaths;0;0;0;0;10;0;0;Neutral
40;2020-05-01;abnalye79675481;Thousands of animals face starvation at cesspit  Indonesian  zoo due to  coronavirus  and maybe forced to eat each other  ;thousands animals face starvation cesspit indonesian zoo due coronavirus maybe forced eat;0;2;0;143;857;0;-4588;Negative
41;2020-05-01;Covid19Update24;"ASEAN 
Highest New Cases Today,

                  Cases              Deaths
Singapore  17,101 +932   15 +0
 Indonesia    10,551 +433   800 +8
Philippines  8,772  +284   579+11
Malaysia      6,071  +69     103 +1
Thailand      2,960  +6        54 +0

 #Coronavirus 
 #coronavirusu";asean highest new cases today cases deaths singapore 17101 932 15 0 indonesia 10551 433 800 8 philippines 8772 284 57911 malaysia 6071 69 103 1 thailand 2960 6 54 0 coronavirus coronavirusu;7;11;0;0;10;0;0;Neutral
42;2020-05-01;Covid19Update24;"ASEAN 
Highest New Cases Today,

                  Cases              Deaths
Singapore  17,101 +932   15 +0
 Indonesia    10,551 +433   800 +8
Philippines  8,772  +284   579+11
Malaysia      6,071  +69     103 +1
Thailand      2,960  +6        54 +0

 #Coronavirus 
 #coronavirusu";asean highest new cases today cases deaths singapore 17101 932 15 0 indonesia 10551 433 800 8 philippines 8772 284 57911 malaysia 6071 69 103 1 thailand 2960 6 54 0 coronavirus coronavirusu;6;1;0;0;10;0;0;Neutral
43;2020-05-01;kr3at;"Indonesia  reports 433 new cases and 8 new deaths bringing total confirmed cases there to 10,551 and 800 total deaths.

 #CoronaVirus   #Covid19   #CoronaVirusOutbreak";indonesia reports 433 new cases 8 new deaths bringing total confirmed cases 10551 800 total deaths coronavirus covid19 coronavirusoutbreak;2;1;0;0;10;0;0;Neutral
44;2020-05-01;Samanth99643919;Thousands of animals face starvation at cesspit  Indonesian  zoo due to  coronavirus  and maybe forced to eat each other  ;thousands animals face starvation cesspit indonesian zoo due coronavirus maybe forced eat;0;0;0;143;857;0;-4588;Negative
45;2020-05-01;Covid19Update24;"ASEAN 
Highest New Cases Today,

                  Cases              Deaths
Singapore  17,101 +932   15 +0
 Indonesia    10,551 +433   800 +8
Philippines  8,772  +284   579+11
Malaysia      6,071  +69     103 +1
Thailand      2,960  +6        54 +0

 #Coronavirus 
 #coronavirusu";asean highest new cases today cases deaths singapore 17101 932 15 0 indonesia 10551 433 800 8 philippines 8772 284 57911 malaysia 6071 69 103 1 thailand 2960 6 54 0 coronavirus coronavirusu;7;6;0;0;10;0;0;Neutral
46;2020-05-01;Covid19Update24;"Most Active cases in ASEAN,

Singapore  15,842
 Indonesia     8,160
Philippines  7,109
Malaysia     1,758
Thailand      187
Myanmar     118
Vietnam       51
Brunei          13
Laos             11
Timor-Leste  8
Cambodia     3

 #coronavirus 
 #CoronaVirusUpdate  
 #COVID19Update";active cases asean singapore 15842 indonesia 8160 philippines 7109 malaysia 1758 thailand 187 myanmar 118 vietnam 51 brunei 13 laos 11 timorleste 8 cambodia 3 coronavirus coronavirusupdate covid19update;8;6;0;117;798;85;-2748;Negative
47;2020-05-01;Oneindia;"#CoronaVirusUpdates  |  #Indonesia  has reported 433 new  coronavirus  cases and eight deaths

 #COVID19   #coronavirus   ";coronavirusupdates indonesia reported 433 new coronavirus cases eight deaths covid19 coronavirus;3;1;0;0;10;0;0;Neutral
48;2020-05-01;FlfoLinda;Indonesia  reports 433 new  coronavirus  cases, eight deaths   ;indonesia reports 433 new coronavirus cases eight deaths;0;0;0;0;10;0;0;Neutral
49;2020-05-01;Reportnewscom;"#LatestDataCorona 
""The addition of positive confirmation cases  #Covid_19  in  Indonesia  was 433 people, bringing the total to 10,551 cases,"" recovered 1,591, and 800 lives.
Achmad Yurianto said in today's press conference (1/5).

 #viruscorona 
 #coronavirus    ";latestdatacorona addition positive confirmation cases covid19 indonesia 433 people bringing total 10551 cases recovered 1591 800 lives achmad yurianto said todays press conference 15 viruscorona coronavirus;0;0;0;0;902;98;5574;Positive
50;2020-05-01;NorbertElekes;"NEW:  Indonesia  reports 433 new cases of  coronavirus , 10,551 cases in total.

800 deaths, 1,591 recovered.";new indonesia reports 433 new cases coronavirus 10551 cases total 800 deaths 1591 recovered;211;44;4;0;10;0;0;Neutral
51;2020-05-01;KonfirmasiTimes;"Coronavirus  Update May 1, 2020 All Provinces of  Indonesia 

why still having some issues, like different data about cases report.

  

 #COVID  
 #coronavirus  
 #coronavirusghana  
 #COVIDIOT  
 #COVID";coronavirus update may 1 2020 provinces indonesia still issues like different data cases report covid coronavirus coronavirusghana covidiot covid;0;0;0;0;909;91;3612;Positive
52;2020-05-01;VishwasDass;"NEW:  Indonesia  reports 433 new cases of  coronavirus , 10,551 cases in total.

800 deaths, 1,591 recovered.
 @NorbertElekes";new indonesia reports 433 new cases coronavirus 10551 cases total 800 deaths 1591 recovered norbertelekes;0;0;0;0;10;0;0;Neutral
53;2020-05-01;JumiLagos;Indonesia  reports 433 new  coronavirus  cases, eight deaths  ;indonesia reports 433 new coronavirus cases eight deaths;0;0;0;0;10;0;0;Neutral
54;2020-05-01;PaulRoom101;"America is going to take years to recover from Trump and  Coronavirus . Australia's future is in Asia.

Morrison needs to pull in the RWNJs who are jeopardizing our future. If Australia wants to protect itself from China then we need to cultivate India,  Indonesia  and Vietnam.";america going take years recover trump coronavirus australias future asia morrison needs pull rwnjs jeopardizing future australia wants protect china need cultivate india indonesia vietnam;7;1;0;0;947;53;3818;Positive
55;2020-05-01;Hashim38017372;Indonesia  confirmed on Friday 433 new  coronavirus  infections, taking the total number of cases to 10,551, health ministry official Achmad Yurianto said.;indonesia confirmed friday 433 new coronavirus infections taking total number cases 10551 health ministry official achmad yurianto said;0;0;0;0;929;71;1513;Positive
56;2020-05-01;ucanindonesia;"Virus forces  Indonesian  rights protest to move online  Read more...   

 #Indonesia   #Coronavirus   #Covid_19";virus forces indonesian rights protest move online read indonesia coronavirus covid19;0;0;0;133;867;0;-25;Negative
57;2020-05-01;UCANSriLanka;"Virus forces  Indonesian  rights protest to move online  Read more...   

 #Indonesia   #Coronavirus   #Covid_19";virus forces indonesian rights protest move online read indonesia coronavirus covid19;0;0;0;133;867;0;-25;Negative
58;2020-05-01;ucanindia;"Virus forces  Indonesian  rights protest to move online  Read more...   

 #Indonesia   #Coronavirus   #Covid_19";virus forces indonesian rights protest move online read indonesia coronavirus covid19;0;0;0;133;867;0;-25;Negative
59;2020-05-01;UCANews;"Virus forces  Indonesian  rights protest to move online  Read more...   

 #Indonesia   #Coronavirus   #Covid_19";virus forces indonesian rights protest move online read indonesia coronavirus covid19;0;0;0;133;867;0;-25;Negative
60;2020-05-01;cao_tt;"Indonesia  reports 433 new cases of  coronavirus , 10,551 cases in total. 800 deaths, 1,591 recovered.
 #COVID19   #coronavirus 
 ";indonesia reports 433 new cases coronavirus 10551 cases total 800 deaths 1591 recovered covid19 coronavirus;0;0;0;0;10;0;0;Neutral
61;2020-05-01;VoiceToData;UPDATE: New cases of  #coronavirus   #COVID19   #COVID_19  in Bangladesh (+571, tot. 8238), Belgium (+513, tot. 49032),  Indonesia  (+433, tot. 10551), Austria (+109, tot. 15561), Oman (+99, tot. 2447), Malaysia (+69, tot. 6071), Ethiopia (+2, tot. 133);update new cases coronavirus covid19 covid19 bangladesh 571 tot 8238 belgium 513 tot 49032 indonesia 433 tot 10551 austria 109 tot 15561 oman 99 tot 2447 malaysia 69 tot 6071 ethiopia 2 tot 133;0;0;0;0;10;0;0;Neutral
62;2020-05-01;DhitaNasywa;"I was very surprised by this. Most 7 album I have not Dateng go to  Indonesia  and there is another album my money is gone because I did not go to school because of the  Corona virus  

This is very annoying 
 #bts";surprised 7 album dateng go indonesia another album money gone go school corona virus annoying bts;1;0;0;66;885;49;-2023;Negative
63;2020-05-01;pilotignews;Distribution of patients with  Corona virus  in  Indonesia , 1,591 have cured 800 dead  ;distribution patients corona virus indonesia 1591 cured 800 dead;0;0;0;235;765;0;-6486;Negative
64;2020-05-01;Volza4;"Just when high tides of the  #coronavirus  outbreak were sweeping off a major share of seafood exports from China,  #Indonesia  dived in, showing a hike of 6.3% in exports from February to March.
Interested in seafood trade statistics? Visit   . ";high tides coronavirus outbreak sweeping major share seafood exports china indonesia dived showing hike 63 exports february march interested seafood trade statistics visit;0;0;0;0;882;118;6361;Positive
65;2020-05-01;HealthT21793947;"Indonesia  reports 433 new  coronavirus  cases, eight deaths     Indonesia  reports 433 new  coronavirus  cases, eight deaths
Reuters: Health
 Indonesia  confirmed on Friday 433 new  coronav";indonesia reports 433 new coronavirus cases eight deaths indonesia reports 433 new coronavirus cases eight deaths reuters health indonesia confirmed friday 433 new coronav;0;0;0;0;10;0;0;Neutral
66;2020-05-01;TheSun;"Thousands of animals face starvation at cesspit  Indonesian  zoo due to  coronavirus  and maybe forced to eat each other
 ";thousands animals face starvation cesspit indonesian zoo due coronavirus maybe forced eat;16;16;5;136;864;0;-4588;Negative
67;2020-05-01;MTVEnglishNews;Indonesia  reports 433 new  coronavirus  cases, eight deaths  ;indonesia reports 433 new coronavirus cases eight deaths;0;0;0;0;10;0;0;Neutral
68;2020-05-01;geekonline;Thousands of animals face starvation at cesspit  Indonesian  zoo due to  coronavirus  and maybe forced to eat each other  The Sun  ;thousands animals face starvation cesspit indonesian zoo due coronavirus maybe forced eat  sun;1;1;0;125;875;0;-4588;Negative
69;2020-05-01;HaalTv;433 new  coronavirus  cases, eight deaths reported in  Indonesia   ;433 new coronavirus cases eight deaths reported indonesia;0;0;0;0;10;0;0;Neutral
70;2020-05-01;TheSolidBarCo;Coronavirus :  Indonesian  village uses 'ghosts' for distancing patrols  ;coronavirus indonesian village uses ghosts distancing patrols;0;0;0;0;10;0;0;Neutral
71;2020-05-01;STcom;Indonesia  reports 433 new  coronavirus  cases, 8 deaths  ;indonesia reports 433 new coronavirus cases 8 deaths;5;3;0;0;10;0;0;Neutral
72;2020-05-01;STcom;Coronavirus :  Indonesian  cigarette factory temporarily shut after 2 workers die of virus  ;coronavirus indonesian cigarette factory temporarily shut 2 workers die virus;4;5;0;231;769;0;-5994;Negative
73;2020-05-01;STForeignDesk;Indonesia  reports 433 new  coronavirus  cases, 8 deaths  ;indonesia reports 433 new coronavirus cases 8 deaths;0;2;0;0;10;0;0;Neutral
74;2020-05-01;STForeignDesk;Coronavirus :  Indonesian  cigarette factory temporarily shut after 2 workers die of virus  ;coronavirus indonesian cigarette factory temporarily shut 2 workers die virus;0;1;0;245;755;0;-5994;Negative
75;2020-05-01;hoteldealphuket;New post ( Coronavirus :  Indonesia 's cigarette factory temporarily shuts after 2 workers die of virus) has been published on Phuket Travel Tips And Advise -  ;new post coronavirus indonesia cigarette factory temporarily shuts 2 workers die virus published phuket travel tips advise;0;0;0;13;87;0;-5994;Negative
76;2020-05-01;ErnstNordholt;Indonesia  Reports 433 New  Coronavirus  Cases, Eight Deaths -     #GoogleAlerts;indonesia reports 433 new coronavirus cases eight deaths googlealerts;0;0;0;0;10;0;0;Neutral
77;2020-05-01;COVID_19Disease;"#US   #UK   #Indonesia  &  #Philippines  still at the early stages.

 #COVID__19   #COVID19   #COVID19PH   #coronavirus   #COVID19indonesia   #Covid19UK   #COVID19US ";us uk indonesia philippines still early stages covid19 covid19 covid19ph coronavirus covid19indonesia covid19uk covid19us;0;0;0;0;10;0;0;Neutral
78;2020-05-01;NBCNewsWorld;"Coronavirus  latest:   

 Brazil surge in  coronavirus  cases alarms neighbouring countries
  Indonesia  official stats of nearly 800 COVID-19 deaths, data suggest deaths over 2,000
 WHO investigating link between virus and syndrome that affects young";coronavirus latest  brazil surge coronavirus cases alarms neighbouring countries  indonesia official stats nearly 800 covid19 deaths data suggest deaths 2000  investigating link virus syndrome affects young;1;3;0;55;945;0;-2732;Negative
79;2020-05-01;UtvPakistan2;433 new  coronavirus  cases, eight deaths reported in  Indonesia    ;433 new coronavirus cases eight deaths reported indonesia;0;0;0;0;10;0;0;Neutral
80;2020-05-01;baluchexpress;433 new  coronavirus  cases, eight deaths reported in  Indonesia    ;433 new coronavirus cases eight deaths reported indonesia;0;0;0;0;10;0;0;Neutral
81;2020-05-01;MustaphaOlatu19;"Almost 8,000 new cases reported in Russia with the death toll rising to 1,169 in 24hrs

Qatar reports 687 new cases, 2 deaths

Iran's virus death toll rises to 6,091

Spain's  #coronavirus  death toll nears 25,000 

 Indonesia  reports 433 new  #Covid19  cases
 #MayDay2020 
 #%D8";almost 8000 new cases reported russia death toll rising 1169 24hrs qatar reports 687 new cases 2 deaths irans virus death toll rises 6091 spains coronavirus death toll nears 25000 indonesia reports 433 new covid19 cases mayday2020 d8;0;0;0;222;778;0;-9136;Negative
82;2020-05-01;TaletravelsC;"What is Sembako? Simple Explanation about 9 Important Essentials   

 #Indonesia   #covid19   #coronavirus   #sembako";sembako simple explanation 9 important essentials indonesia covid19 coronavirus sembako;0;0;0;0;878;122;2023;Positive
83;2020-05-01;CekFaktaDulu;"Covid-19 update May 1st, 2020:

 Indonesia 
233,120 suspected cases,
22,123 suspected patients,
10,551 confirmed cases,
800 deaths,
1,591 recovered.

WORLD (WoM):
3,325,957 cases
234,501 deaths

 #Indonesia 
 #COVID19 
 #coronavirus 
 #COVID19indonesia 
 #VirusCorona  
 #StaySafe";covid19 update may 1st 2020 indonesia 233120 suspected cases 22123 suspected patients 10551 confirmed cases 800 deaths 1591 recovered world wom 3325957 cases 234501 deaths indonesia covid19 coronavirus covid19indonesia viruscorona staysafe;3;1;0;116;884;0;-4215;Negative
84;2020-05-01;tom_allard;More evidence that  Indonesia s  coronavirus  deaths are way higher than disclosed. April saw a second month of very high burials in Jakarta, despite people leaving the city.   ;evidence indonesia  coronavirus deaths way higher disclosed april saw second month high burials jakarta despite people leaving city;44;27;2;0;10;0;0;Neutral
